Algorithm	File	Fitness	Time(s)	Evals
SimulatedAnnealing	GKD-b_5_n25_m2	0	4.6548e-06	1
SimulatedAnnealing	GKD-b_6_n25_m7	35.5	0.00198622	521
SimulatedAnnealing	GKD-b_7_n25_m7	31.7423	0.00204679	561.4
SimulatedAnnealing	GKD-b_8_n25_m7	36.9622	0.0020355	535.4
SimulatedAnnealing	GKD-b_9_n25_m7	36.028	0.00201836	508.2
SimulatedAnnealing	GKD-b_10_n25_m7	34.4248	0.0021756	605.4
SimulatedAnnealing	GKD-b_11_n50_m5	11.9725	0.00256635	842.6
SimulatedAnnealing	GKD-b_12_n50_m5	9.67072	0.00264599	951.6
SimulatedAnnealing	GKD-b_13_n50_m5	13.0564	0.00274242	950.6
SimulatedAnnealing	GKD-b_14_n50_m5	13.7348	0.00253222	756.8
SimulatedAnnealing	GKD-b_15_n50_m5	11.7819	0.00260768	824.2
SimulatedAnnealing	GKD-b_16_n50_m15	97.9693	0.0178396	2468.8
